 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
21 30278000 0 0 0 0 0 0 0 21090000  29.720838957671898 0.0 6.829022628491599 13000 14000 15000 
22 18370000 0 0 0 10340000 0 0 0 21288000  29.8794082955414 14.264634043478301 6.8485163677932 11000 14000 15000 
23 23896000 0 0 0 26690000 0 0 0 24204000  29.670029895631 15.137157047619 6.714592638009 12000 14000 15000 
24 23230000 0 0 0 24867000 0 0 0 19805000  29.5361053767441 15.7207752142857 6.8147766349999 10000 12000 15000 
25 28596000 0 0 0 27637000 0 0 0 20008000  29.2249859191583 15.796485410891 6.9138457486573 10000 11000 15000 
26 42340000 0 0 0 28191000 0 0 0 24748000  28.2770301528925 15.732755030075099 6.7686425295723005 11000 13000 15000 
27 31738000 0 0 0 25426000 0 0 0 24616000  27.9083386555118 15.975450947368401 6.6591292023715 10000 11000 15000 
28 27366000 0 0 0 28311000 0 0 0 3444000  27.5352038762886 15.8666038475452 6.6541273271173 13000 14000 15000 
29 30070000 0 0 0 26589000 0 0 0 0  27.306147391733997 15.8294398814317 0.0 13000 14000 15000 
30 54839000 0 0 0 26589000 0 0 0 0  26.4627280827004 15.826477061143901 0.0 11000 12000 15000 
31 53751000 0 0 0 27148000 0 0 0 0  25.5984521012658 15.887333357394303 0.0 11000 13000 15000 
32 45626000 0 0 0 27028000 0 0 0 0  25.1979213089123 15.931646670906199 0.0 13000 14000 15000 
33 51596000 0 0 0 26210000 0 0 0 0  24.7295746093525 15.9392806119186 0.0 10000 12000 15000 
34 44970000 0 0 0 26159000 0 0 0 0  24.3179654052197 15.998994399463802 0.0 8000 11000 15000 
35 15443000 0 0 0 29827000 0 0 0 0  24.3948321510067 15.918101185731798 0.0 8000 10000 15000 
36 13853000 0 0 0 27097000 0 0 0 0  24.5917238090849 15.9512682002288 0.0 8000 10000 15000 
37 10575000 0 0 0 28706000 0 0 0 0  24.8761417928571 15.912229174653799 0.0 5000 10000 15000 
38 24317000 0 0 0 26210000 0 0 0 0  24.8225760271464 15.911782434869698 0.0 10000 10000 15000 
