UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
0.0,0.0,9449.0,10778.0,0.0,0.0,0.0,0.0,19299.0,0.018233341886720697,0.015695152765523402,0.007966818089563317,7.0,8.0,11.0
0.0,0.0,4228.0,31563.0,0.0,0.0,0.0,0.0,23307.0,0.021913091885938853,0.017905468869143366,0.00819568557800916,7.0,5.0,13.0
0.0,0.0,1793.0,25466.0,0.0,0.0,0.0,0.0,27312.0,0.018988880745871125,0.01493450222061585,0.008652661467568334,8.0,7.0,15.0
0.0,0.0,12523.0,21741.0,0.0,0.0,0.0,0.0,22322.0,0.024088630123049255,0.017331290354198076,0.007884378317002028,12.0,15.0,15.0
0.0,0.0,11758.0,25603.0,0.0,0.0,0.0,0.0,22773.0,0.015342825008973132,0.015296620523368184,0.010054471153416915,13.0,8.0,11.0
0.0,0.0,3186.0,11252.0,0.0,0.0,0.0,0.0,6011.0,0.02159723040874369,0.020335955231021826,0.008698295550832248,12.0,15.0,14.0
0.0,0.0,7344.0,19904.0,0.0,0.0,0.0,0.0,17063.0,0.02055622456629352,0.01662657575405781,0.008643385267978844,7.0,8.0,12.0
0.0,0.0,16384.0,25898.0,0.0,0.0,0.0,0.0,25305.0,0.02373514789261103,0.014027522408452918,0.007198006524828092,9.0,8.0,13.0
0.0,0.0,17973.0,20487.0,0.0,0.0,0.0,0.0,25468.0,0.02437406677290611,0.016351634344636518,0.006554892727115335,8.0,8.0,10.0
0.0,0.0,1466.0,13772.0,0.0,0.0,0.0,0.0,24010.0,0.0219397326177014,0.017165041874680674,0.0069429193542173565,6.0,8.0,12.0
0,0,0,15396,0,0,0,0,18258,None,0.013679322353081813,0.008136646146761715,6,7,13
0.0,0.0,3525.0,12328.0,0.0,0.0,0.0,0.0,22365.0,0.02033777608946384,0.016598283461100545,0.008165390862329043,7.0,7.0,14.0
0.0,0.0,2002.0,17672.0,0.0,0.0,0.0,0.0,23732.0,0.02131750901704592,0.018765727342609693,0.0068624794826436545,7.0,9.0,10.0
0.0,0.0,7060.0,20203.0,0.0,0.0,0.0,0.0,25246.0,0.020824899661697475,0.018297342239006413,0.008000186965944713,6.0,9.0,11.0
0.0,0.0,7822.0,6941.0,0.0,0.0,0.0,0.0,22575.0,0.02174430963276756,0.01849761058263298,0.007661119961166565,7.0,7.0,12.0
0,0,0,11299,0,0,0,0,10869,None,0.01934408730934079,0.008432902954393714,6,7,13
0,0,0,31081,0,0,0,0,0,None,0.015744065512015765,None,6,5,11
0,0,0,36238,0,0,0,0,0,None,0.01634723911950554,None,6,9,13
0,0,0,24439,0,0,0,0,0,None,0.016113915206642876,None,7,9,11
0,0,0,12952,0,0,0,0,0,None,0.017942291137721368,None,7,8,11
0,0,0,13518,0,0,0,0,0,None,0.017048529710932375,None,7,8,14
0,0,0,3800,0,0,0,0,0,None,0.016074527657656483,None,9,9,13
0,0,0,21689,0,0,0,0,0,None,0.019182405680495968,None,7,7,13
0,0,0,7252,0,0,0,0,0,None,0.017761579354660467,None,5,8,9
26994,0,0,0,24941,0,0,0,0,0.021537645450260625,0.016901534470163015,None,12,15,11
6136,0,0,0,24159,0,0,0,0,0.028459581983705667,0.01844263126922499,None,8,9,12
