UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI,empty
15346,0,0,0,26310,0,97560,0,0,73.113417662,0.02180130351748475,0.016244880977520446,0.005755691771666074,9,10,15,
17180,0,0,0,26310,0,115409,0,0,74.122040951,0.02187421151475721,0.016240787078130228,0.005802917773741565,10,10,15,
17535,0,0,0,26310,0,89248,0,0,75.13395715,0.021857330202313938,0.01623132641421088,0.005875997531893177,9,10,14,
17826,0,12555,0,26310,0,87125,0,0,76.140018325,0.02131210350421178,0.016222842952136215,0.00594233748144433,10,10,15,
12591,0,17317,0,26310,0,79239,0,0,77.142156315,0.02087060069892472,0.016215981886822207,0.006014601373375019,9,10,15,
17316,0,21568,0,26310,0,61070,0,0,78.155982266,0.020164526763988905,0.01620938690126897,0.006108438115159401,10,10,15,
10785,0,13357,0,26872,0,57522,0,0,79.1600437,0.0198336490830645,0.016217712664539665,0.006193514764658632,10,10,15,
4287,0,20600,0,27201,0,67288,0,0,80.169521197,0.01926812195592782,0.01622088769122913,0.006258765611304621,12,13,15,
5079,0,24418,0,26106,0,62960,0,0,81.190064617,0.018627664182689928,0.01623762124340177,0.006336441077548465,7,11,15,
3064,0,22919,0,26872,0,81076,0,0,82.197202809,0.018079193425541925,0.01624562297377523,0.006395709340573012,7,10,15,
3064,0,23331,0,25898,0,76750,0,0,83.199237454,0.0175556191599277,0.016253581578514753,0.006456567492408137,9,10,15,
3064,0,22985,0,27638,0,42060,0,0,84.204268044,0.017091728225407152,0.016246465519220068,0.00655540036592347,7,11,15,
3064,0,18981,0,27488,0,88365,0,0,85.215859608,0.016770239193602682,0.01624044805421688,0.0066094002899346775,10,10,15,
3064,0,16482,0,26310,0,111621,0,0,86.224107958,0.016523956020077838,0.01623461137968204,0.006635602532283923,10,10,15,
3064,0,18276,0,26310,0,114189,0,0,87.233033479,0.01623190660536778,0.016232608363925743,0.006661503314289803,7,11,15,
3064,0,14617,0,26872,0,95769,0,0,88.238120105,0.016057465740819885,0.01621836110574414,0.0067036745382444245,10,10,15,
2926,0,17152,0,26310,0,105158,0,0,89.240435112,0.01583829411098484,0.01621334792491645,0.006735046384893083,9,10,15,
3064,0,15497,0,26310,0,96103,0,0,90.251158115,0.01565232488274458,0.016208757464792316,0.006774111309197918,8,10,15,
1390,0,19678,0,26310,0,82836,0,0,91.257265199,0.015447696005232757,0.016208241664586988,0.006822955610600323,7,11,15,
0,0,5767,0,26310,0,156719,0,0,92.263034602,0.0153861473780444,0.01620406082734876,0.006814366113082625,10,10,15,
0,0,10726,0,27763,0,167019,0,0,93.269205951,0.015314341850097212,0.01620275612887598,0.0067935738536838005,10,10,15,
0,0,15055,0,1178,0,128857,0,0,94.278176487,0.015232617006431415,0.016195702523486698,0.006799216628386112,8,11,15,
