UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
11823,0,0,0,27024,0,0,0,0,60.529231697,0.017654995823843434,0.016156040147619042,0,11,12,15,
15676,0,0,0,26260,0,0,0,0,61.532611032,0.01789179811120881,0.01613734266275924,0,10,11,15,
16300,0,0,0,25085,0,0,0,0,62.564234929,0.01813141078531075,0.016145629890987123,0,9,10,15,
18145,0,0,0,28525,0,0,0,0,63.585099568,0.018258374218041915,0.016119316768917827,0,7,11,15,
15206,0,0,0,26260,0,0,0,0,64.586384206,0.018399202377581133,0.01615789954347827,0,7,11,15,
17603,0,0,0,25698,0,0,0,14252,65.587432304,0.01845635596139478,0.01616366009435365,0.0064442020648688165,9,10,15,
15240,0,0,0,27183,0,0,0,20678,66.592016406,0.01855909000533882,0.016173755765458427,0.006511727017904523,10,10,15,
8337,0,0,0,26788,0,0,0,19591,67.592247112,0.018787217305781773,0.01618992323449217,0.006592352737515238,7,11,15,
16995,0,0,0,26671,0,0,0,5421,68.602151759,0.01898366099919421,0.016205381415193194,0.006606577315664105,9,11,15,
22877,0,0,0,27024,0,3423,0,0,69.624201327,0.01904199713064134,0.016212769017002523,0.006854210111565439,10,10,15,
16860,0,0,0,25849,0,31000,0,0,70.642008553,0.019232405099960808,0.016215731199270965,0.00714663975715089,7,11,15,
24664,0,0,0,26260,0,109611,0,0,71.665969028,0.01926976865421641,0.01621069509677419,0.007191247257980128,8,11,15,
21340,0,0,0,25085,0,115376,0,0,72.669783764,0.019308227482028005,0.01620246801135718,0.007224108236043103,7,10,15,
12430,0,0,0,27350,0,80548,0,0,73.689017075,0.019459300519295626,0.016201244464873765,0.007369259020159412,8,11,15,
9634,0,0,0,27677,0,70013,0,0,74.689441164,0.019598813865035234,0.016193570282377914,0.007552635037070536,10,11,15,
16556,0,0,0,26260,0,69283,0,0,75.699983395,0.019696591776962594,0.01619804771538856,0.007724539808027932,7,11,15,
10950,0,0,0,26788,0,67696,0,0,76.708259654,0.019824281596733224,0.016196211363454806,0.007892178698861246,7,11,15,
15876,0,0,0,26260,0,76191,0,0,77.720996669,0.01997877796728973,0.016208692213385053,0.008020792989829136,8,11,15,
18962,0,0,0,26260,0,125775,0,0,78.733903222,0.02007428384285209,0.016221854778877876,0.007984275652274485,11,14,15,
17224,0,0,0,27963,0,138188,0,0,79.748323024,0.02013827065453274,0.016189544697802184,0.007930074108068645,8,11,15,
15819,0,0,0,25613,0,127558,0,0,80.767710638,0.020249717735966746,0.016191007162873708,0.007879447418515956,10,10,15,
17048,0,0,0,28525,0,110747,0,0,81.77947353,0.020330295988364146,0.016176434391323196,0.007890784959081843,8,11,15,
15108,0,0,0,26260,0,88435,0,0,82.786392187,0.0204662878999661,0.016196922610829088,0.007943217939150036,9,10,15,
8162,0,0,0,27149,0,92222,0,0,83.789578983,0.020686860925775992,0.01620182275422679,0.007991646740729205,14,15,15,
8734,0,0,0,26788,0,77583,0,0,84.800025317,0.020808597100201085,0.016196269561770612,0.008075457130606062,11,15,15,
14187,0,0,0,26260,0,148290,0,0,85.808077986,0.020964576315159588,0.016202786972484267,0.008001369655861073,12,14,15,
15206,0,0,0,26260,0,111008,0,0,86.809985685,0.02109174916930173,0.016206354381482897,0.008005475217439915,10,14,15,
14099,0,0,0,27435,0,131294,0,0,87.823773553,0.021206857523016664,0.016200858957598492,0.007955886541062806,11,14,15,
8760,0,0,0,25613,0,124175,0,0,88.828848628,0.021344423230719393,0.016204864455914764,0.007942034816532783,9,10,15,
7554,0,0,0,27970,0,108024,0,0,89.843710857,0.021498420890715682,0.01618567287428161,0.00795446509816721,10,14,15,
13077,0,0,0,27795,0,85485,0,0,90.889100792,0.021592406701726352,0.016184771662333102,0.00800014577756002,7,11,15,
