 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
19 25005000 0 0 0 0 0 0 0 1911000  13.9335484296397 0.0 6.8998144615379 14000 14000 15000 
20 60430000 0 0 0 0 0 0 0 22853000  13.901230873303101 0.0 6.3889762095808 14000 15000 15000 
21 49248000 0 0 0 0 0 0 0 24270000  13.9802374322981 0.0 6.2507566371951 14000 14000 15000 
22 50562000 0 0 0 1433000 0 0 0 25094000  14.035850361791 0.2037145000031 6.0285909860279006 12000 14000 15000 
23 54426000 0 0 0 25927000 0 0 0 24814000  14.0550777154331 15.9272672295084 5.9975601014925 13000 14000 15000 
24 57668000 0 0 0 27246000 0 0 0 26033000  14.041694931129399 15.926683577235801 5.9552570083036 12000 14000 15000 
25 56233000 0 0 0 26838000 0 0 0 24550000  14.0083460898995 15.697056923913099 5.9480426607142 12000 14000 15000 
26 20169000 0 0 0 26080000 0 0 0 24682000  14.3408210672926 15.7559432839506 5.9428500595744 11000 14000 15000 
27 73076000 0 0 0 26080000 0 0 0 21486000  14.2450551549225 15.767947930463599 5.9408806122449 11000 12000 15000 
28 85292000 0 0 0 26080000 0 0 0 0  14.0398550851569 15.8068800637119 0.0 13000 14000 14000 
29 82993000 0 0 0 26639000 0 0 0 0  13.8617392049068 15.889255971496398 0.0 12000 15000 15000 
30 66832000 0 0 0 26080000 0 0 0 0  13.7947448073555 16.0274515854166 0.0 14000 15000 15000 
31 61556000 0 0 0 26963000 0 0 0 0  13.782677202290001 16.0612840757855 0.0 12000 13000 15000 
32 68843000 0 0 0 24674000 0 0 0 0  13.7157985251739 16.0510540636515 0.0 13000 13000 15000 
33 71294000 0 0 0 27711000 0 0 0 0  13.6347285944664 16.0299961138088 0.0 14000 14000 15000 
34 74038000 0 0 0 26671000 0 0 0 0  13.5631402106269 16.0927882114047 0.0 8000 10000 15000 
35 43555000 0 0 0 25849000 0 0 0 0  13.6688642821281 16.1441572831403 0.0 11000 14000 15000 
36 97218000 0 0 0 26260000 0 0 0 0  13.5151205506671 16.1737773289473 0.0 10000 12000 15000 
37 109553000 0 0 0 26671000 0 0 0 0  13.3101560484429 16.212358172991 0.0 6000 11000 15000 
38 105532000 0 0 0 27024000 0 0 0 0  13.147752466022599 16.2166370250784 0.0 8000 10000 15000 
39 105920000 0 0 0 25613000 0 0 0 0  12.9887876729781 16.2078783639053 0.0 10000 12000 15000 
40 108270000 0 0 0 26788000 0 0 0 0  12.830607485307699 16.1770509320298 0.0 11000 12000 15000 
41 127461000 0 0 0 26822000 0 0 0 0  12.6298189232827 16.2055305970018 0.0 8000 11000 15000 
42 129090000 0 0 0 26788000 0 0 0 0  12.4157285267066 16.233440750418797 0.0 6000 10000 15000 
43 102687000 0 0 0 25613000 0 0 0 0  12.309132818106301 16.2936719672262 0.0 8000 10000 15000 
