"UE1: web-rtc","UE1: sipp","UE1: web-server","UE2: web-rtc","UE2: sipp","UE2: web-server","UE3: web-rtc","UE3: sipp","UE3: web-server","Time","UE1-Jitter","UE2-Jitter","UE3-Jitter","UE1-CQI","UE2-CQI","UE3-CQI","empty"
30278,0,0,0,0,0,0,0,21090,,"0.02972083895767195",0,"0.006829022628491617",13,14,15,
18370,0,0,0,10340,0,0,0,21288,,"0.0298794082955414","0.014264634043478306","0.006848516367793242",11,14,15,
23896,0,0,0,26690,0,0,0,24204,,"0.029670029895631063","0.015137157047619067","0.006714592638009047",12,14,15,
23230,0,0,0,24867,0,0,0,19805,,"0.02953610537674418","0.015720775214285738","0.0068147766349999995",10,12,15,
28596,0,0,0,27637,0,0,0,20008,,"0.029224985919158356","0.01579648541089109","0.006913845748657357",10,11,15,
42340,0,0,0,28191,0,0,0,24748,,"0.028277030152892554","0.015732755030075183","0.0067686425295723366",11,13,15,
31738,0,0,0,25426,0,0,0,24616,,"0.027908338655511802","0.015975450947368415","0.006659129202371538",10,11,15,
27366,0,0,0,28311,0,0,0,3444,,"0.027535203876288654","0.015866603847545218","0.006654127327117322",13,14,15,
30070,0,0,0,26589,0,0,0,0,,"0.027306147391734047","0.01582943988143177",0,13,14,15,
54839,0,0,0,26589,0,0,0,0,,"0.026462728082700417","0.015826477061143984",0,11,12,15,
53751,0,0,0,27148,0,0,0,0,,"0.025598452101265816","0.015887333357394378",0,11,13,15,
45626,0,0,0,27028,0,0,0,0,,"0.025197921308912376","0.015931646670906213",0,13,14,15,
51596,0,0,0,26210,0,0,0,0,,"0.02472957460935251","0.01593928061191861",0,10,12,15,
44970,0,0,0,26159,0,0,0,0,,"0.024317965405219775","0.015998994399463812",0,8,11,15,
15443,0,0,0,29827,0,0,0,0,,"0.02439483215100671","0.01591810118573186",0,8,10,15,
13853,0,0,0,27097,0,0,0,0,,"0.024591723809084916","0.015951268200228838",0,8,10,15,
10575,0,0,0,28706,0,0,0,0,,"0.024876141792857135","0.015912229174653895",0,5,10,15,
24317,0,0,0,26210,0,0,0,0,,"0.024822576027146458","0.01591178243486975",0,10,10,15,
32056,0,0,0,26210,0,0,0,0,,"0.02454926221424223","0.015923629485335867",0,10,11,15,
19982,0,0,0,26772,0,0,0,0,,"0.02453096446999405","0.0159608895371531",0,8,10,15,
7560,0,0,0,27534,0,0,0,0,,"0.024850447065843613","0.015986456037319772",0,8,9,15,
9787,0,0,0,27656,0,0,0,0,,"0.025207821684915543","0.015977343451249005",0,8,9,15,
11665,0,0,0,27941,0,0,0,0,,"0.02541873372862879","0.01593115139263805",0,8,9,15,
8349,0,0,0,26210,0,0,0,5437,,"0.02568675117413499","0.015927834069699207","0.006641927841389727",5,9,15,
17507,0,0,0,25038,0,0,0,21915,,"0.025656390760978313","0.01595923760253701","0.006668431803267529",8,9,15,
12447,0,0,0,27659,0,0,0,25967,,"0.025808418444140186","0.01596649693247807","0.006574043296160874",8,9,15,
6203,0,0,0,28663,0,0,0,19657,,"0.026065319196846102","0.01594380960478656","0.0065145877815315275",8,9,15,
11112,0,0,0,27097,0,0,0,0,,"0.026270257078621424","0.01596085415494712",0,4,10,15,
20753,0,0,0,27299,0,0,0,0,,"0.026250851280969944","0.01594691998081536",0,6,10,15,
25024,0,0,0,26737,0,0,0,0,,"0.02613562019351517","0.01595640406712964",0,8,9,15,
12249,0,0,0,27382,0,0,0,0,,"0.02629839871863889","0.015943581328491628",0,10,9,15,
23221,0,0,0,28831,0,0,0,0,,"0.026271911299451903","0.015918286575202164",0,8,9,15,
15688,0,0,0,26972,0,0,0,0,,"0.026351003139283947","0.015898662560020885",0,5,10,15,
14347,0,0,0,27659,0,0,0,0,,"0.02650757206004841","0.015903999351365026",0,6,10,15,
6886,0,0,0,27944,0,0,0,0,,"0.026759593710918697","0.015930451552180314",0,6,10,15,
23557,0,0,0,23144,0,0,0,0,,"0.02664831689448892","0.01593555611180125",0,6,10,15,
14410,0,0,0,30280,0,0,0,0,,"0.02675756541701533","0.015892925913003245",0,8,9,15,
12807,0,0,0,26620,0,0,0,0,,"0.02682813817960495","0.015913837011706445",0,8,9,15,
12641,0,0,0,26972,0,0,0,0,,"0.02694159463574351","0.015924582039000885",0,8,9,15,
14073,0,0,0,25038,0,0,0,0,,"0.02710147279442194","0.015936839259195902",0,8,10,15,
10631,0,0,0,27909,0,0,0,0,,"0.027269752890471937","0.01591368672136611",0,10,10,15,
16114,0,0,0,26210,0,0,0,0,,"0.027325798404385947","0.015908994860569115",0,10,11,15,
