Packet_Num,Time,Source,Destination,Protocol,Length
"4823","47.963809","192.168.3.101","192.168.20.2","UDP","1179"
"4824","47.96384","192.168.3.101","192.168.20.2","UDP","1179"
"4825","47.968902","192.168.3.101","192.168.20.2","UDP","1179"
"4826","47.968932","192.168.3.101","192.168.20.2","UDP","1179"
"4827","47.971307","192.168.20.3","192.168.3.102","SIP","410"
"4828","47.971325","192.168.20.3","192.168.3.102","SIP","410"
"4829","47.971597","192.168.3.102","192.168.20.3","SIP","352"
"4830","47.97394","192.168.3.101","192.168.20.2","UDP","1179"
"4831","47.97397","192.168.3.101","192.168.20.2","UDP","1179"
"4832","47.979034","192.168.3.101","192.168.20.2","UDP","1179"
"4833","47.979065","192.168.3.101","192.168.20.2","UDP","1179"
"4834","47.984185","192.168.3.101","192.168.20.2","UDP","1180"
"4835","47.984211","192.168.3.101","192.168.20.2","UDP","1180"
"4836","47.988055","192.168.20.2","192.168.3.101","UDP","96"
"4837","47.989259","192.168.3.101","192.168.20.2","UDP","1181"
"4838","47.98929","192.168.3.101","192.168.20.2","UDP","1181"
"4839","47.994353","192.168.3.101","192.168.20.2","UDP","1181"
"4840","47.994383","192.168.3.101","192.168.20.2","UDP","1181"
"4841","47.99946","192.168.3.101","192.168.20.2","UDP","1181"
"4842","47.99949","192.168.3.101","192.168.20.2","UDP","112"
"4843","47.999504","192.168.3.101","192.168.20.2","UDP","1181"
"4844","48.004494","192.168.3.101","192.168.20.2","UDP","1181"
"4845","48.004524","192.168.3.101","192.168.20.2","UDP","1181"
"4846","48.00959","192.168.3.101","192.168.20.2","UDP","1181"
"4847","48.00962","192.168.3.101","192.168.20.2","UDP","1181"
"4848","48.014691","192.168.3.101","192.168.20.2","UDP","1181"
"4849","48.01472","192.168.3.101","192.168.20.2","UDP","1181"
"4850","48.019772","192.168.3.101","192.168.20.2","UDP","1181"
"4851","48.019804","192.168.3.101","192.168.20.2","UDP","1181"
"4852","48.023072","192.168.20.2","192.168.3.101","UDP","100"
"4853","48.024879","192.168.3.101","192.168.20.2","UDP","1181"
"4854","48.02491","192.168.3.101","192.168.20.2","UDP","1181"
"4855","48.029944","192.168.3.101","192.168.20.2","UDP","1181"
"4856","48.029975","192.168.3.101","192.168.20.2","UDP","1181"
"4858","48.033462","192.168.3.102","192.168.20.3","SIP","360"
"4860","48.035066","192.168.3.101","192.168.20.2","UDP","1181"
"4861","48.035089","192.168.3.101","192.168.20.2","UDP","1181"
"4862","48.040152","192.168.3.101","192.168.20.2","UDP","1181"
"4863","48.040177","192.168.3.101","192.168.20.2","UDP","1181"
"4864","48.045282","192.168.3.101","192.168.20.2","UDP","1181"
"4865","48.045312","192.168.3.101","192.168.20.2","UDP","1181"
"4866","48.050411","192.168.3.101","192.168.20.2","UDP","1181"
"4867","48.055556","192.168.3.101","192.168.20.2","UDP","1181"
"4868","48.055587","192.168.3.101","192.168.20.2","UDP","1181"
"4869","48.060571","192.168.3.101","192.168.20.2","UDP","1181"
"4870","48.061262","192.168.20.3","192.168.3.102","SIP","410"
"4871","48.061279","192.168.20.3","192.168.3.102","SIP","410"
