24 23230 0 0 0 24867 0 0 0 19805  0.0295361053767441 0.0157207752142857 0.0068147766349999 10 12 15 
25 28596 0 0 0 27637 0 0 0 20008  0.0292249859191583 0.015796485410891 0.0069138457486573 10 11 15 
26 42340 0 0 0 28191 0 0 0 24748  0.0282770301528925 0.0157327550300751 0.0067686425295723 11 13 15 
27 31738 0 0 0 25426 0 0 0 24616  0.0279083386555118 0.0159754509473684 0.0066591292023715 10 11 15 
28 27366 0 0 0 28311 0 0 0 3444  0.0275352038762886 0.0158666038475452 0.0066541273271173 13 14 15 
29 30070 0 0 0 26589 0 0 0 0  0.027306147391734 0.0158294398814317 0.0 13 14 15 
30 54839 0 0 0 26589 0 0 0 0  0.0264627280827004 0.0158264770611439 0.0 11 12 15 
31 53751 0 0 0 27148 0 0 0 0  0.0255984521012658 0.0158873333573943 0.0 11 13 15 
32 45626 0 0 0 27028 0 0 0 0  0.0251979213089123 0.0159316466709062 0.0 13 14 15 
33 51596 0 0 0 26210 0 0 0 0  0.0247295746093525 0.0159392806119186 0.0 10 12 15 
34 44970 0 0 0 26159 0 0 0 0  0.0243179654052197 0.0159989943994638 0.0 8 11 15 
35 15443 0 0 0 29827 0 0 0 0  0.0243948321510067 0.0159181011857318 0.0 8 10 15 
36 13853 0 0 0 27097 0 0 0 0  0.0245917238090849 0.0159512682002288 0.0 8 10 15 
37 10575 0 0 0 28706 0 0 0 0  0.0248761417928571 0.0159122291746538 0.0 5 10 15 
38 24317 0 0 0 26210 0 0 0 0  0.0248225760271464 0.0159117824348697 0.0 10 10 15 
39 32056 0 0 0 26210 0 0 0 0  0.0245492622142422 0.0159236294853358 0.0 10 11 15 
40 19982 0 0 0 26772 0 0 0 0  0.024530964469994 0.0159608895371531 0.0 8 10 15 
41 7560 0 0 0 27534 0 0 0 0  0.0248504470658436 0.0159864560373197 0.0 8 9 15 
42 9787 0 0 0 27656 0 0 0 0  0.0252078216849155 0.015977343451249 0.0 8 9 15 
43 11665 0 0 0 27941 0 0 0 0  0.0254187337286287 0.015931151392638 0.0 8 9 15 
44 8349 0 0 0 26210 0 0 0 5437  0.0256867511741349 0.0159278340696992 0.0066419278413897 5 9 15 
45 17507 0 0 0 25038 0 0 0 21915  0.0256563907609783 0.015959237602537 0.0066684318032675 8 9 15 
46 12447 0 0 0 27659 0 0 0 25967  0.0258084184441401 0.015966496932478 0.0065740432961608 8 9 15 
47 6203 0 0 0 28663 0 0 0 19657  0.0260653191968461 0.0159438096047865 0.0065145877815315 8 9 15 
48 11112 0 0 0 27097 0 0 0 0  0.0262702570786214 0.0159608541549471 0.0 4 10 15 
49 20753 0 0 0 27299 0 0 0 0  0.0262508512809699 0.0159469199808153 0.0 6 10 15 
50 25024 0 0 0 26737 0 0 0 0  0.0261356201935151 0.0159564040671296 0.0 8 9 15 
51 12249 0 0 0 27382 0 0 0 0  0.0262983987186388 0.0159435813284916 0.0 10 9 15 
52 23221 0 0 0 28831 0 0 0 0  0.0262719112994519 0.0159182865752021 0.0 8 9 15 
53 15688 0 0 0 26972 0 0 0 0  0.0263510031392839 0.0158986625600208 0.0 5 10 15 
54 14347 0 0 0 27659 0 0 0 0  0.0265075720600484 0.015903999351365 0.0 6 10 15 
55 6886 0 0 0 27944 0 0 0 0  0.0267595937109186 0.0159304515521803 0.0 6 10 15 
56 23557 0 0 0 23144 0 0 0 0  0.0266483168944889 0.0159355561118012 0.0 6 10 15 
57 14410 0 0 0 30280 0 0 0 0  0.0267575654170153 0.0158929259130032 0.0 8 9 15 
58 12807 0 0 0 26620 0 0 0 0  0.0268281381796049 0.0159138370117064 0.0 8 9 15 
59 12641 0 0 0 26972 0 0 0 0  0.0269415946357435 0.0159245820390008 0.0 8 9 15 
